"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1997"	"1997"	"15-19 years"	"15-19"	0	1490307	0.0 (Unreliable)
	"1997"	"1997"	"20-24 years"	"20-24"	3	1351027	0.2 (Unreliable)
	"1997"	"1997"	"25-34 years"	"25-34"	143	2928982	4.9
	"1997"	"1997"	"35-44 years"	"35-44"	669	2923476	22.9
	"1997"	"1997"	"45-54 years"	"45-54"	1103	1984719	55.6
	"1997"	"1997"	"55-64 years"	"55-64"	1104	1247408	88.5
	"1997"	"1997"	"65-74 years"	"65-74"	1127	952122	118.4
	"1997"	"1997"	"75-84 years"	"75-84"	838	565927	148.1
	"1997"	"1997"	"85+ years"	"85+"	437	213458	204.7
	"1997"	"1997"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1997"	"1997"			5424	18396151	29.5
	"1998"	"1998"	"< 1 year"	"1"	0	299795	0.0 (Unreliable)
	"1998"	"1998"	"1-4 years"	"1-4"	0	1234180	0.0 (Unreliable)
	"1998"	"1998"	"5-9 years"	"5-9"	0	1714847	0.0 (Unreliable)
	"1998"	"1998"	"10-14 years"	"10-14"	0	1544543	0.0 (Unreliable)
	"1998"	"1998"	"15-19 years"	"15-19"	0	1520323	0.0 (Unreliable)
	"1998"	"1998"	"20-24 years"	"20-24"	1	1366116	0.1 (Unreliable)
	"1998"	"1998"	"25-34 years"	"25-34"	131	2913772	4.5
	"1998"	"1998"	"35-44 years"	"35-44"	679	2984697	22.7
	"1998"	"1998"	"45-54 years"	"45-54"	1140	2079531	54.8
	"1998"	"1998"	"55-64 years"	"55-64"	1060	1283284	82.6
	"1998"	"1998"	"65-74 years"	"65-74"	1014	959603	105.7
	"1998"	"1998"	"75-84 years"	"75-84"	809	573090	141.2
	"1998"	"1998"	"85+ years"	"85+"	447	221677	201.6
	"1998"	"1998"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1998"	"1998"			5281	18695458	28.2
"Total"					87362	320894114	27.2
"---"
"Dataset: Compressed Mortality, 1979-1998"
"Query Parameters:"
"Gender: Female"
"ICD-9 Codes: 174.0 (Nipple and areola); 174.1 (Central portion); 174.2 (Upper-inner quadrant); 174.3 (Lower-inner quadrant);"
"174.4 (Upper-outer quadrant); 174.5 (Lower-outer quadrant); 174.6 (Axillary tail); 174.8 (Other specified sites of female"
"breast); 174.9 (Breast (female), unspecified)"
"Race: Black or African American"
"Group By: Year; Age Group"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Jun 29, 2020 1:20:42 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"
"1979-1998. CDC WONDER On-line Database, compiled from Compressed Mortality File CMF 1968-1988, Series 20, No. 2A, 2000 and CMF"
